Req ID,Chapter,Section,Requirement,Control Type,Level,L1,L2,L3,ATT&CK / ATLAS,CWE,CIS Benchmark,NIST CSF,Status,Notes
BSVS-6.4.1,V6: Threat Protection & Safe Browsing,6.4 User Awareness (Browser-Specific),"Verify that security awareness training includes browser-specific threats: consent phishing, fake updates, malicious extensions, MFA-bypass phishing",Governance,L1,_,_,_,,,,,,
BSVS-6.4.2,V6: Threat Protection & Safe Browsing,6.4 User Awareness (Browser-Specific),"Verify that users have a low-friction way to report suspicious sites/pages encountered in the browser, and reports feed detection processes",Governance,L2,,_,_,,,,,,
BSVS-7.1.1,V7: AI & Agentic Browsing,7.1 Inventory & Sanctioning of AI Capabilities,"Verify that AI-enabled browsers, sidebars, copilots, and agentic extensions in use are inventoried and classified as sanctioned or unsanctioned",Governance,L2,,_,_,,,,,,
BSVS-7.1.2,V7: AI & Agentic Browsing,7.1 Inventory & Sanctioning of AI Capabilities,"Verify that policy defines which AI browsing capabilities are permitted, for which users, and with access to which data classes",Policy,L2,,_,_,,,,,,
BSVS-7.1.3,V7: AI & Agentic Browsing,7.1 Inventory & Sanctioning of AI Capabilities,Verify that unsanctioned AI browsers and agentic extensions can be technically blocked on managed endpoints,Technical,L2,,_,_,,,,,,
BSVS-7.2.1,V7: AI & Agentic Browsing,7.2 Agent Authority & Session Access,Verify that agentic capabilities cannot operate with access to authenticated corporate sessions unless explicitly sanctioned for that application,Technical,L2,,_,_,,,,,,
BSVS-7.2.2,V7: AI & Agentic Browsing,7.2 Agent Authority & Session Access,"Verify that sanctioned agents operate under least privilege: scoped to defined sites/tasks, with sensitive actions (payments, permission changes, data export, sending communications) requiring human confirmation",Technical,L3,,,_,,,,,,
BSVS-7.2.3,V7: AI & Agentic Browsing,7.2 Agent Authority & Session Access,Verify that agent sessions are distinguishable from human sessions in application and identity logs,Technical,L3,,,_,,,,,,
BSVS-7.3.1,V7: AI & Agentic Browsing,7.3 Prompt Injection & Content Manipulation,Verify that the organization has assessed prompt-injection risk (page content or documents steering agent behavior) for each sanctioned agentic capability,Governance,L2,,_,_,,,,,,
BSVS-7.3.2,V7: AI & Agentic Browsing,7.3 Prompt Injection & Content Manipulation,"Verify that mitigations exist for untrusted-content-driven agent actions (e.g., restricting agent browsing to trusted origins, isolating agent context from sensitive tabs, requiring confirmation for actions initiated after processing untrusted content)",Technical,L3,,,_,,,,,,
BSVS-7.4.1,V7: AI & Agentic Browsing,7.4 AI Data Handling & Auditability,"Verify that data submitted to AI browser features is governed by the data protection controls in V5, including page-context capture by sidebars/copilots",Technical,L2,,_,_,,,,,,
BSVS-7.4.2,V7: AI & Agentic Browsing,7.4 AI Data Handling & Auditability,Verify that sanctioned AI browsing features log actions taken and data accessed sufficiently to support incident investigation,Technical,L2,,_,_,,,,,,
BSVS-7.4.3,V7: AI & Agentic Browsing,7.4 AI Data Handling & Auditability,"Verify that AI browsing capabilities are included in incident response planning, including revoking agent access and investigating agent-performed actions",Governance,L3,,,_,,,,,,
BSVS-8.1.1,"V8: Monitoring, Telemetry & Incident Response",8.1 Telemetry Collection,"Verify that security-relevant browser events (extension installs, policy changes, malware/phishing blocks, dangerous downloads) are collected centrally",Technical,L2,,_,_,,,,,,
BSVS-8.1.2,"V8: Monitoring, Telemetry & Incident Response",8.1 Telemetry Collection,"Verify that browser telemetry collection is documented, proportionate, and compliant with applicable employee privacy law and internal policy",Technical,L2,,_,_,,,,,,
BSVS-8.1.3,"V8: Monitoring, Telemetry & Incident Response",8.1 Telemetry Collection,"Verify that telemetry covers data-movement events (uploads, downloads, paste to unsanctioned destinations) for sensitive data classes",Technical,L3,,,_,,,,,,
BSVS-8.2.1,"V8: Monitoring, Telemetry & Incident Response",8.2 Detection & Response Integration,Verify that browser telemetry is integrated with the organization's detection stack (SIEM/XDR) with defined alerting use cases,Technical,L2,,_,_,,,,,,
BSVS-8.2.2,"V8: Monitoring, Telemetry & Incident Response",8.2 Detection & Response Integration,"Verify that infostealer indicators (credential store access, mass cookie theft) on endpoints trigger revocation of browser sessions and credentials for affected users",Technical,L2,,_,_,,,,,,
BSVS-8.2.3,"V8: Monitoring, Telemetry & Incident Response",8.2 Detection & Response Integration,"Verify that incident response playbooks cover browser-layer scenarios: malicious extension, session token theft, AitM-phished credentials, data exfiltration via browser",Governance,L2,,_,_,,,,,,
BSVS-8.3.1,"V8: Monitoring, Telemetry & Incident Response",8.3 Forensics & Retention,"Verify that browser artifacts needed for investigation (history, extension state, download records) can be acquired from managed endpoints",Technical,L3,,,_,,,,,,
BSVS-8.3.2,"V8: Monitoring, Telemetry & Incident Response",8.3 Forensics & Retention,Verify that retention periods for browser telemetry meet investigation and regulatory needs,Governance,L3,,,_,,,,,,
BSVS-8.4.1,"V8: Monitoring, Telemetry & Incident Response",8.4 Metrics & Continuous Improvement,"Verify that browser security posture metrics (patch latency, policy compliance, unapproved extension count, unmanaged browser usage) are reported to security leadership on a defined cadence",Governance,L2,,_,_,,,,,,
BSVS-8.4.2,"V8: Monitoring, Telemetry & Incident Response",8.4 Metrics & Continuous Improvement,"Verify that findings from browser-related incidents feed back into policy, configuration baselines, and this standard's local implementation",Governance,L3,,,_,,,,,,
